Data;Abertura;Fechamento;Variacao;VariacaoPrcntgn;Minima;Maxima;Volume
31/jan/18;84485.49;84912.70;430.24;0.51%;84484.39;86212.82;398543700.00
30/jan/18;84697.27;84482.46;-215.55;-0.25%;83803.60;84697.27;306767500.00
29/jan/18;85530.84;84698.01;-832.83;-0.97%;84340.70;85530.84;369245000.00
26/jan/18;83680.24;85530.84;1850.84;2.21%;83680.24;85530.84;605520200.00
25/jan/18;80678.81;83680.00;-;0.00%;80678.81;83680.00;0.00
24/jan/18;80678.81;83680.00;3001.65;3.72%;80678.81;83680.00;556634000.00
23/jan/18;81676.09;80678.35;-997.07;-1.22%;80523.84;81676.09;350975500.00
22/jan/18;81219.50;81675.42;455.92;0.56%;80922.85;81675.42;281696000.00
19/jan/18;80964.73;81219.50;256.86;0.32%;80853.76;81429.06;304742900.00
18/jan/18;81185.02;80962.65;-226.52;-0.28%;80498.49;81367.38;316351200.00
17/jan/18;79831.63;81189.16;1357.40;1.70%;79827.85;81189.47;313110600.00
16/jan/18;79750.74;79831.76;79.39;0.10%;79667.72;80246.33;279274900.00
15/jan/18;79349.12;79752.37;403.25;0.51%;79349.12;79846.66;176194900.00
12/jan/18;79365.44;79349.12;-16.32;-0.02%;78861.38;79440.47;366290900.00
11/jan/18;78200.75;79365.44;1164.87;1.49%;78200.75;79365.44;322084100.00
10/jan/18;78863.57;78200.57;-662.97;-0.84%;78163.85;78863.57;258186400.00
09/jan/18;79379.21;78863.54;-515.00;-0.65%;78699.25;79414.91;333140500.00
08/jan/18;79070.27;79378.54;307.07;0.39%;78631.25;79395.45;234937400.00
05/jan/18;78644.27;79071.47;424.05;0.54%;78218.11;79071.47;262986000.00
04/jan/18;77997.69;78647.42;652.26;0.84%;77997.69;79134.83;334092100.00
03/jan/18;77889.41;77995.16;104.13;0.13%;77601.52;78413.89;300828100.00
02/jan/18;76402.60;77891.04;1488.95;1.95%;76402.60;77909.01;270211900.00
